Exchange,Symbol,Name,Country,Sector,Industry
NASDAQ,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,Technology,Semiconductors
NASDAQ,ACEVU,ACE Convergence Acquisition Corp. Unit,United States,Technology,Semiconductors
NASDAQ,ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,Technology,Semiconductors
NASDAQ,ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
NASDAQ,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,Finance,Property-Casualty Insurers
NASDAQ,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,Finance,Property-Casualty Insurers
NASDAQ,ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,Finance,Property-Casualty Insurers
NASDAQ,ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
NASDAQ,ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ACHV,Achieve Life Sciences Inc. Common Shares,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,EDP Services
NASDAQ,ACLS,Axcelis Technologies Inc. Common Stock,United States,Technology,Industrial Machinery/Components
NASDAQ,ACMR,ACM Research Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components
NASDAQ,ACNB,ACNB Corporation Common Stock,United States,Finance,Major Banks
NASDAQ,ACOR,Acorda Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,Finance,Business Services
NASDAQ,ACQRU,Independence Holdings Corp. Units,United States,Finance,Business Services
NASDAQ,ACQRW,Independence Holdings Corp. Warrant,United States,Finance,Business Services
NASDAQ,ACRS,Aclaris Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,ACTDW,ArcLight Clean Transition Corp. II Warrant,United States,Finance,Business Services
NASDAQ,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,Miscellaneous,Multi-Sector Companies
NASDAQ,ACVA,ACV Auctions Inc. Class A Common Stock,United States,Technology,EDP Services
NASDAQ,ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADBE,Adobe Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,ADES,Advanced Emissions Solutions Inc. Common Stock,United States,Basic Industries,Industrial Specialties
NASDAQ,ADGI,Adagio Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADI,Analog Devices Inc. Common Stock,United States,Technology,Semiconductors
NASDAQ,ADIL,Adial Pharmaceuticals Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADILW,Adial Pharmaceuticals Inc Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADMA,ADMA Biologics Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,Finance,Business Services
NASDAQ,ADOCR,Edoc Acquisition Corp. Right,United States,Finance,Business Services
NASDAQ,ADOCW,Edoc Acquisition Corp. Warrant,United States,Finance,Business Services
NASDAQ,ADP,Automatic Data Processing Inc. Common Stock,United States,Miscellaneous,Business Services
NASDAQ,ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADSK,Autodesk Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,ADTN,ADTRAN Inc. Common Stock,United States,Capital Goods,Telecommunications Equipment
NASDAQ,ADTX,Aditxt Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,ADUS,Addus HomeCare Corporation Common Stock,United States,Health Care,Medical/Nursing Services
NASDAQ,ADV,Advantage Solutions Inc. Class A Common Stock,United States,Technology,Advertising
NASDAQ,ADVM,Adverum Biotechnologies Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADVWW,Advantage Solutions Inc. Warrant,United States,Technology,Advertising
NASDAQ,ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADXS,Advaxis Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,Finance,Business Services
NASDAQ,AEACU,Authentic Equity Acquisition Corp. Unit,United States,Finance,Business Services
NASDAQ,AEACW,Authentic Equity Acquisition Corp. Warrant,United States,Finance,Business Services
NASDAQ,AEHR,Aehr Test Systems Common Stock,United States,Capital Goods,Electrical Products
NASDAQ,AEI,Alset EHome International Inc. Common Stock,United States,Consumer Services,Building operators
NASDAQ,AEIS,Advanced Energy Industries Inc. Common Stock,United States,Consumer Durables,Electrical Products
NASDAQ,AEMD,Aethlon Medical Inc. Common Stock,United States,Miscellaneous,Diversified Commercial Services
NASDAQ,AEP,American Electric Power Company Inc. Common Stock,United States,Public Utilities,Electric Utilities: Central
NASDAQ,AEPPL,American Electric Power Company Inc. Corporate Unit,United States,Public Utilities,Electric Utilities: Central
NASDAQ,AEPPZ,American Electric Power Company Inc. Corporate Units,United States,Public Utilities,Electric Utilities: Central
NASDAQ,AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AESE,Allied Esports Entertainment Inc. Common Stock,United States,Consumer Services,Television Services
NASDAQ,AEY,ADDvantage Technologies Group Inc. Common Stock,United States,Capital Goods,Recreational Products/Toys
NASDAQ,AEYE,AudioEye Inc. Common Stock,United States,Technology,EDP Services
NASDAQ,AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,Finance,Major Banks
NASDAQ,AFCG,AFC Gamma Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AFIB,Acutus Medical Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NASDAQ,AFIN,American Finance Trust Inc. Class A Common Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AFMD,Affimed N.V.,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AFRM,Affirm Holdings Inc. Class A Common Stock,United States,Technology,EDP Services
NASDAQ,AFYA,Afya Limited Class A Common Shares,Brazil,Consumer Services,Other Consumer Services
NASDAQ,AGBAR,AGBA Acquisition Limited Right,Hong Kong,Finance,Business Services
NASDAQ,AGBAW,AGBA Acquisition Limited Warrant,Hong Kong,Finance,Business Services
NASDAQ,AGEN,Agenus Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AGFY,Agrify Corporation Common Stock,United States,Finance,Diversified Commercial Services
NASDAQ,AGGR,Agile Growth Corp. Class A Ordinary Share,United States,Finance,Business Services
NASDAQ,AGGRU,Agile Growth Corp. Units,United States,Finance,Business Services
NASDAQ,AGGRW,Agile Growth Corp. Warrant.,United States,Finance,Business Services
NASDAQ,AGIL,AgileThought Inc. Class A Common Stock,United States,Finance,Business Services
NASDAQ,AGILW,AgileThought Inc. Warrant,United States,Finance,Business Services
NASDAQ,AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,Technology,EDP Services
NASDAQ,AGNC,AGNC Investment Corp. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGRX,Agile Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AGTC,Applied Genetic Technologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AGYS,Agilysys Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,AHCO,AdaptHealth Corp. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NASDAQ,AHPI,Allied Healthcare Products Inc. Common Stock,United States,Health Care,Industrial Specialties
NASDAQ,AIKI,AIkido Pharma Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,AIMC,Altra Industrial Motion Corp. Common Stock,United States,Capital Goods,Industrial Machinery/Components
NASDAQ,AINV,Apollo Investment Corporation Common Stock,United States,Finance,Finance/Investors Services
NASDAQ,AIRG,Airgain Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ,AIRT,Air T Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services
NASDAQ,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,Transportation,Air Freight/Delivery Services
NASDAQ,AKAM,Akamai Technologies Inc. Common Stock,United States,Miscellaneous,Business Services
NASDAQ,AKBA,Akebia Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
NASDAQ,AKICU,Sports Ventures Acquisition Corp. Unit,United States,Finance,Business Services
NASDAQ,AKICW,Sports Ventures Acquisition Corp. Warrant,United States,Finance,Business Services
NASDAQ,AKRO,Akero Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKTS,Akoustis Technologies Inc. Common Stock,United States,Public Utilities,Telecommunications Equipment
NASDAQ,AKTX,Akari Therapeutics plc ADR (0.01 USD),United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKUS,Akouos Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,AKYA,Akoya BioSciences Inc. Common Stock,United States,Capital Goods,Medical Specialities
NASDAQ,ALAC,Alberton Acquisition Corporation Ordinary Shares,Hong Kong,Finance,Business Services
NASDAQ,ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Hong Kong,Finance,Business Services
NASDAQ,ALACW,Alberton Acquisition Corporation Warrant,Hong Kong,Finance,Business Services
NASDAQ,ALBO,Albireo Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALEC,Alector Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALF,ALFI Inc. Common Stock,United States,Technology,EDP Services
NASDAQ,ALFIW,ALFI Inc. Warrant,United States,Technology,EDP Services
NASDAQ,ALGM,Allegro MicroSystems Inc. Common Stock,United States,Technology,Semiconductors
NASDAQ,ALGN,Align Technology Inc. Common Stock,United States,Health Care,Industrial Specialties
NASDAQ,ALGS,Aligos Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALGT,Allegiant Travel Company Common Stock,United States,Transportation,Air Freight/Delivery Services
NASDAQ,ALHC,Alignment Healthcare Inc. Common Stock,United States,Health Care,Medical Specialities
NASDAQ,ALIM,Alimera Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALJJ,ALJ Regional Holdings Inc. Common Stock,United States,Miscellaneous,Business Services
NASDAQ,ALKS,Alkermes plc Ordinary Shares,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALKT,Alkami Technology Inc. Common Stock,United States,Technology,EDP Services
NASDAQ,ALLK,Allakos Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALLO,Allogene Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ALLT,Allot Ltd. Ordinary Shares,Israel,Public Utilities,Telecommunications Equipment
NASDAQ,ALNA,Allena Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALOT,AstroNova Inc. Common Stock,United States,Technology,Computer peripheral equipment
NASDAQ,ALPN,Alpine Immune Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALRM,Alarm.com Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,ALRN,Aileron Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALRS,Alerus Financial Corporation Common Stock,United States,Finance,Commercial Banks
NASDAQ,ALT,Altimmune Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALTA,Altabancorp Common Stock,United States,Finance,Major Banks
NASDAQ,ALTM,Altus Midstream Company Class A Common Stock,United States,Energy,Oil & Gas Production
NASDAQ,ALTO,Alto Ingredients Inc. Common Stock,United States,Basic Industries,Industrial Specialties
NASDAQ,ALTR,Altair Engineering Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,ALVR,AlloVir Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALXO,ALX Oncology Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALZN,Alzamend Neuro Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,Finance,Commercial Banks
NASDAQ,AMAOW,American Acquisition Opportunity Inc. Warrant,United States,Finance,Business Services
NASDAQ,AMAT,Applied Materials Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
NASDAQ,AMBA,Ambarella Inc. Ordinary Shares,United States,Technology,Semiconductors
NASDAQ,AMCIU,AMCI Acquisition Corp. II Units,United States,Miscellaneous,Industrial Machinery/Components
NASDAQ,AMCX,AMC Networks Inc. Class A Common Stock,United States,Consumer Services,Broadcasting
NASDAQ,AMD,Advanced Micro Devices Inc. Common Stock,United States,Technology,Semiconductors
NASDAQ,AMED,Amedisys Inc Common Stock,United States,Health Care,Medical/Nursing Services
NASDAQ,AMEH,Apollo Medical Holdings Inc. Common Stock,United States,Health Care,Managed Health Care
NASDAQ,AMGN,Amgen Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AMKR,Amkor Technology Inc. Common Stock,United States,Technology,Semiconductors
NASDAQ,AMNB,American National Bankshares Inc. Common Stock,United States,Finance,Major Banks
NASDAQ,AMOT,Allied Motion Technologies Inc.,United States,Capital Goods,Electrical Products
NASDAQ,AMPG,Amplitech Group Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
NASDAQ,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AMRK,A-Mark Precious Metals Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
NASDAQ,AMRN,Amarin Corporation plc,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AMRS,Amyris Inc. Common Stock,United States,Basic Industries,Industrial Specialties
NASDAQ,AMSC,American Superconductor Corporation Common Stock,United States,Capital Goods,Office Equipment/Supplies/Services
NASDAQ,AMSF,AMERISAFE Inc. Common Stock,United States,Finance,Accident &Health Insurance
NASDAQ,AMST,Amesite Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,AMSWA,American Software Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,AMTB,Amerant Bancorp Inc. Class A Common Stock,United States,Finance,Major Banks
NASDAQ,AMTBB,Amerant Bancorp Inc. Class B Common Stock,United States,Finance,Major Banks
NASDAQ,AMTI,Applied Molecular Transport Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals
NASDAQ,AMTX,Aemetis Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
NASDAQ,AMWD,American Woodmark Corporation Common Stock,United States,Consumer Durables,Building Products
NASDAQ,AMYT,Amryt Pharma plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AMZN,Amazon.com Inc. Common Stock,United States,Consumer Services,Catalog/Specialty Distribution
NASDAQ,ANAB,AnaptysBio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ANAT,American National Group Inc. Common Stock,United States,Finance,Life Insurance
NASDAQ,ANDE,Andersons Inc. (The) Common Stock,United States,Consumer Non-Durables,Tobacco
NASDAQ,ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ANGI,Angi Inc. Class A Common Stock,United States,Technology,EDP Services
NASDAQ,ANGN,Angion Biomedica Corp. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ANGO,AngioDynamics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
NASDAQ,ANIK,Anika Therapeutics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
NASDAQ,ANIP,ANI Pharmaceuticals Inc.,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ANIX,Anixa Biosciences Inc. Common Stock,United States,Health Care,Medical Specialities
NASDAQ,ANNX,Annexon Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ANSS,ANSYS Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,Technology,Semiconductors
NASDAQ,APA,APA Corporation Common Stock,United States,Energy,Oil & Gas Production
NASDAQ,APDN,Applied DNA Sciences Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,APEI,American Public Education Inc. Common Stock,United States,Miscellaneous,Other Consumer Services
NASDAQ,APEN,Apollo Endosurgery Inc. Common Stock,United States,Health Care,Industrial Specialties
NASDAQ,APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,APLT,Applied Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,APM,Aptorum Group Limited Class A Ordinary Shares,Hong Kong,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,APOP,Cellect Biotechnology Ltd. American Depositary Shares,Israel,Health Care,Medical/Dental Instruments
NASDAQ,APP,Applovin Corporation Class A Common Stock,United States,Technology,EDP Services
NASDAQ,APPF,AppFolio Inc. Class A Common Stock,United States,Technology,EDP Services
NASDAQ,APPN,Appian Corporation Class A Common Stock,United States,Technology,EDP Services
NASDAQ,APPS,Digital Turbine Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
NASDAQ,APR,Apria Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
NASDAQ,APRE,Aprea Therapeutics Inc. Common stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,APTX,Aptinyx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,APVO,Aptevo Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,Basic Industries,Telecommunications Equipment
NASDAQ,APYX,Apyx Medical Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
NASDAQ,AQMS,Aqua Metals Inc. Common Stock,United States,Public Utilities,Environmental Services
NASDAQ,AQST,Aquestive Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARAV,Aravive Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARAY,Accuray Incorporated Common Stock,United States,Health Care,Medical/Dental Instruments
NASDAQ,ARCB,ArcBest Corporation Common Stock,United States,Transportation,Trucking Freight/Courier Services
NASDAQ,ARCC,Ares Capital Corporation Common Stock,United States,Finance,Finance/Investors Services
NASDAQ,ARCE,Arco Platform Limited Class A Common Shares,Brazil,Miscellaneous,Service to the Health Industry
NASDAQ,ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARDS,Aridis Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARDX,Ardelyx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARGX,argenx SE American Depositary Shares,Netherlands,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ARKO,ARKO Corp. Common Stock,United States,Consumer Services,Food Chains
NASDAQ,ARKOW,ARKO Corp. Warrant,United States,Consumer Services,Food Chains
NASDAQ,ARKR,Ark Restaurants Corp. Common Stock,United States,Consumer Services,Restaurants
NASDAQ,ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,Energy,Coal Mining
NASDAQ,ARNA,Arena Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AROW,Arrow Financial Corporation Common Stock,United States,Finance,Major Banks
NASDAQ,ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARRY,Array Technologies Inc. Common Stock,United States,Technology,Semiconductors
NASDAQ,ARTA,Artisan Acquisition Corp. Class A Ordinary Shares ,Cayman Islands,Finance,Business Services
NASDAQ,ARTAW,Artisan Acquisition Corp. Warrants,Cayman Islands,Finance,Business Services
NASDAQ,ARTL,Artelo Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARTLW,Artelo Biosciences Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARTNA,Artesian Resources Corporation Class A Common Stock,United States,Public Utilities,Water Supply
NASDAQ,ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
NASDAQ,ARVL,Arrival Ordinary Shares,Luxembourg,Capital Goods,Auto Manufacturing
NASDAQ,ARVN,Arvinas Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ARYD,ARYA Sciences Acquisition Corp IV Class A Odinary Shares,United States,Finance,Business Services
NASDAQ,ASLE,AerSale Corporation Common Stock,United States,Transportation,Aerospace
NASDAQ,ASLEW,AerSale Corporation Warrants,United States,Transportation,Aerospace
